state_code,state_name_english,state_name_local,state_census2011_code,district_code,district_name_english,district_name_local,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_name_local,subdistrict_census2011_code,last_updated
23,Madhya Pradesh,MADHYA PRADESH,23.0,421,Raisen,रायसेन,446.0,3594,Baraily,बरेली,3594.0,2024-10-07
27,Maharashtra,महाराष्ट्र,27.0,490,Pune,पुणे,521.0,4199,Baramati,बारामती,4199.0,2024-10-07
19,West Bengal,WEST BENGAL,19.0,303,North 24 Parganas,NORTH TWENTY FOUR PARGANAS,337.0,2326,Barasat - II,,2326.0,2024-10-07
10,Bihar,BIHAR,10.0,197,Gopalganj,गोपालगंज,217.0,1226,Barauli,बरौली,1226.0,2024-10-07
21,Odisha,ODISHA,21.0,361,Kendujhar,KENDUJHAR,375.0,2834,Barbil,,2834.0,2024-10-07
30,Goa,GOA,30.0,551,North Goa,NORTH GOA,585.0,5610,Bardez,,5610.0,2024-10-07
20,Jharkhand,झारखंड,20.0,340,Sahebganj,साहेबगंज,352.0,2567,Barhait,,2567.0,2024-10-07
21,Odisha,ODISHA,21.0,361,Kendujhar,KENDUJHAR,375.0,2841,Baria,,2841.0,2024-10-07
21,Odisha,ODISHA,21.0,365,Mayurbhanj,MAYURBHANJ,376.0,2888,Baripada (M),,2888.0,2024-10-07
21,Odisha,ODISHA,21.0,365,Mayurbhanj,MAYURBHANJ,376.0,2872,Baripada Sadar,,2872.0,2024-10-07
20,Jharkhand,झारखंड,20.0,332,Hazaribagh,हज़ारीबाग,360.0,2650,Barkatha,,2650.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,771,Gangapurcity,गंगापुरसिटी,,7224,Barnala,बरनाला,0.0,2024-10-07
2,Himachal Pradesh,HIMACHAL PRADESH,2.0,18,Kangra,KANGRA,24.0,102,Baroh,,102.0,2024-10-07
10,Bihar,BIHAR,10.0,189,Aurangabad,औरंगाबाद,235.0,1482,Barun,बारुन,1482.0,2024-10-07
6,Haryana,HARYANA,6.0,70,Panchkula,PANCHKULA,69.0,6460,Barwala St,बरवाला,0.0,2024-10-07
19,West Bengal,WEST BENGAL,19.0,303,North 24 Parganas,NORTH TWENTY FOUR PARGANAS,337.0,2329,Basirhat - I,,2329.0,2024-10-07
10,Bihar,BIHAR,10.0,206,Madhubani,मधुबनी,207.0,1082,Basopatti,बसोंपट्टी,1082.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,95,Chittorgarh,CHITTORGARH,126.0,7133,Bassi,बस्सी,0.0,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22.0,374,Bastar,बस्तर,414.0,3363,Bastar,,3363.0,2024-10-07
21,Odisha,ODISHA,21.0,348,Bhadrak,BHADRAK,378.0,2915,Basudebpur,,2915.0,2024-10-07
17,Meghalaya,MEGHALAYA,17.0,278,West Garo Hills,WEST GARO HILLS,293.0,7339,Batabari,,0.0,2024-10-07
3,Punjab,PUNJAB,3.0,28,Bathinda,BATHINDA,46.0,245,Bathinda,ਬਠਿੰਡਾ,245.0,2024-10-07
21,Odisha,ODISHA,21.0,349,Boudh,BOUDH,391.0,3129,Baunsuni,,3129.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,91,Bharatpur,BHARATPUR,105.0,513,Bayana,,513.0,2024-10-07
27,Maharashtra,महाराष्ट्र,27.0,470,Beed,बीड,523.0,4221,Beed,बीड,4221.0,2024-10-07
28,Andhra Pradesh,ANDHRA PRADESH,28.0,753,Annamayya,Annamayya,0.0,5391,Beerongi Kothakota,బీరంగి కొత్తకోట,5391.0,2024-10-07
21,Odisha,ODISHA,21.0,362,Khordha,KHORDHA,386.0,3035,Begunia,,3035.0,2024-10-07
9,Uttar Pradesh,UTTAR PRADESH,9.0,177,Saharanpur,SAHARANPUR,132.0,701,Behat,,701.0,2024-10-07
10,Bihar,BIHAR,10.0,193,Bhojpur,भोजपुर,231.0,1427,Behea,बिहिया,1427.0,2024-10-07
36,Telangana,తెలంగాణ,0.0,692,Siddipet,సిద్దిపేట,0.0,4437,Bejjanki,బెజ్జంకి,4437.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,97,Dausa,DAUSA,109.0,7135,Bejupada,बैजूपाडा,0.0,2024-10-07
10,Bihar,BIHAR,10.0,196,Gaya,गया,236.0,1489,Belaganj,बेलागन्ज,1489.0,2024-10-07
10,Bihar,BIHAR,10.0,212,Patna,पटना,230.0,1416,Belchhi,बेलछी,1416.0,2024-10-07
10,Bihar,BIHAR,10.0,202,Khagaria,खगड़िया,223.0,1326,Beldaur,बेलदौर,1326.0,2024-10-07
36,Telangana,తెలంగాణ,0.0,684,Mancherial,మంచిర్యాల్,0.0,4350,Bellampally,బెల్లంపల్లి,4350.0,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29.0,525,Bengaluru Urban,ಬೆಂಗಳೂರು,572.0,5542,Bengaluru North,ಬೆಂಗಳೂರು ಉತ್ತರ,5542.0,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29.0,525,Bengaluru Urban,ಬೆಂಗಳೂರು,572.0,5543,Bengaluru South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,5543.0,2024-10-07
18,Assam,ASSAM,18.0,612,Chirang,,320.0,2113,Bengtol,,2113.0,2024-10-07
10,Bihar,BIHAR,10.0,206,Madhubani,मधुबनी,207.0,1091,Benipatti,बेनीपट्टी,1091.0,2024-10-07
10,Bihar,BIHAR,10.0,195,Darbhanga,दरभंगा,215.0,1188,Benipur,बेनीपुर,1188.0,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,429,Shahdol,शहडोल,460.0,3689,Beohari,ब्यौहरी,3689.0,2024-10-07
6,Haryana,HARYANA,6.0,64,Jhajjar,JHAJJAR,83.0,407,Beri,,407.0,2024-10-07
1,Jammu And Kashmir,JAMMU AND KASHMIR,1.0,12,Rajouri,RAJOURI,6.0,6776,Beri Pattan,Beri Pattan,0.0,2024-10-07
5,Uttarakhand,UTTARAKHAND,5.0,51,Nainital,NAINITAL,66.0,339,Betalghat,,339.0,2024-10-07
21,Odisha,ODISHA,21.0,365,Mayurbhanj,MAYURBHANJ,376.0,2881,Betanati,,2881.0,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,394,Betul,बैतूल,447.0,3600,Betul,बैतूल,3600.0,2024-10-07
10,Bihar,BIHAR,10.0,200,Kaimur (Bhabua),कैमूर ( भभुआ ),233.0,1453,Bhabua,भभुआ,1453.0,2024-10-07
24,Gujarat,GUJARAT,24.0,449,Kachchh,KACHCHH,468.0,3724,Bhachau,,3724.0,2024-10-07
9,Uttar Pradesh,UTTAR PRADESH,9.0,179,Bhadohi,BHADOHI,198.0,997,Bhadohi,,997.0,2024-10-07
21,Odisha,ODISHA,21.0,348,Bhadrak,BHADRAK,378.0,2914,Bhadrak Rural,,2914.0,2024-10-07
19,West Bengal,WEST BENGAL,19.0,319,Murshidabad,MURSHIDABAD,333.0,2231,Bhagawangola - I,,2231.0,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,394,Betul,बैतूल,447.0,3598,Bhainsdehi,भैंसदेही,3598.0,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22.0,648,Surajpur,सूरजपुर,0.0,3244,Bhaiyathan,भैयाथान,3244.0,2024-10-07
1,Jammu And Kashmir,JAMMU AND KASHMIR,1.0,4,Doda,DODA,16.0,6755,Bhalla,Bhalla,0.0,2024-10-07
28,Andhra Pradesh,ANDHRA PRADESH,28.0,743,Parvathipuram Manyam,Parvathipuram Manyam,0.0,4771,Bhamini,,4771.0,2024-10-07
27,Maharashtra,महाराष्ट्र,27.0,471,Bhandara,भंडारा,506.0,4039,Bhandara,भंडारा,4039.0,2024-10-07
13,Nagaland,NAGALAND,13.0,250,Wokha,WOKHA,264.0,1782,Bhandari,,1782.0,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,416,Mandsaur,मन्दसौर,433.0,3492,Bhanpura,भानपुरा,3492.0,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22.0,374,Bastar,बस्तर,414.0,7312,Bhanpuri,भानपुरी,0.0,2024-10-07
2,Himachal Pradesh,HIMACHAL PRADESH,2.0,15,Bilaspur,BILASPUR,30.0,153,Bharari,,153.0,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22.0,760,Manendragarh-Chirmiri-Bharatpur(M C B),मनेन्द्रगढ़-चिरमिरी-भरतपुर(ऍम.सी.बी.),0.0,3231,Bharatpur,,3231.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,91,Bharatpur,BHARATPUR,105.0,511,Bharatpur,,511.0,2024-10-07
19,West Bengal,WEST BENGAL,19.0,319,Murshidabad,MURSHIDABAD,333.0,2247,Bharatpur - I,,2247.0,2024-10-07
9,Uttar Pradesh,UTTAR PRADESH,9.0,139,Etawah,ETAWAH,161.0,839,Bharthana,,839.0,2024-10-07
21,Odisha,ODISHA,21.0,373,Sundargarh,SUNDARGARH,374.0,2806,Bhasma,,2806.0,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22.0,644,Balodabazar-Bhatapara,बलौदाबाजार-भाटापारा,0.0,3325,Bhatapara,,3325.0,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22.0,648,Surajpur,सूरजपुर,0.0,7310,Bhatgaon,भटगाँव,0.0,2024-10-07
5,Uttarakhand,UTTARAKHAND,5.0,57,Uttar Kashi,UTTAR KASHI,56.0,283,Bhatwari,,283.0,2024-10-07
33,Tamil Nadu,TAMIL NADU,33.0,573,Erode,ERODE,610.0,5750,Bhavani,,5750.0,2024-10-07
2,Himachal Pradesh,HIMACHAL PRADESH,2.0,18,Kangra,KANGRA,24.0,6939,Bhawarna,,0.0,2024-10-07
24,Gujarat,GUJARAT,24.0,448,Junagadh,JUNAGADH,479.0,3828,Bhesan,,3828.0,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22.0,378,Durg,दुर्ग,409.0,7329,Bhilai-3,भिलाई-3,0.0,2024-10-07
28,Andhra Pradesh,ANDHRA PRADESH,28.0,523,West Godavari,పశ్చిమగోదావరి,546.0,4984,Bhimavaram,,4984.0,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,395,Bhind,भिण्ड,420.0,6994,Bhind Nagar,भिण्‍ड शहरी,0.0,2024-10-07
6,Haryana,HARYANA,6.0,59,Bhiwani,BHIWANI,81.0,398,Bhiwani,,398.0,2024-10-07
36,Telangana,తెలంగాణ,0.0,697,Yadadri Bhuvanagiri,యదాద్రి భువనగిరి,0.0,4628,Bhongir,భూవనగిరి,4628.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,95,Chittorgarh,CHITTORGARH,126.0,6057,Bhopalsagar,,0.0,2024-10-07
10,Bihar,BIHAR,10.0,197,Gopalganj,गोपालगंज,217.0,1217,Bhorey,भोरे,1217.0,2024-10-07
21,Odisha,ODISHA,21.0,362,Khordha,KHORDHA,386.0,3055,Bhubaneswar (M.Corp.),,3055.0,2024-10-07
2,Himachal Pradesh,HIMACHAL PRADESH,2.0,20,Kullu,KULLU,26.0,6887,Bhuntar,,0.0,2024-10-07
10,Bihar,BIHAR,10.0,217,Samastipur,समस्तीपुर,221.0,1299,Bibhutpur,बिभुतिपुर,1299.0,2024-10-07
36,Telangana,తెలంగాణ,0.0,685,Kamareddy,కామారెడ్డి,0.0,6242,Bibipet,బీబీపేట్,0.0,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22.0,636,Bijapur,बीजापुर,417.0,3378,Bijapur,,3378.0,2024-10-07
21,Odisha,ODISHA,21.0,344,Anugul,ANUGUL,384.0,3008,Bikrampur,,3008.0,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,436,Umaria,उमरिया,431.0,6974,Bilaspur,बिलासपुर,0.0,2024-10-07
